id;Код;остаток
530;Р1080;273
531;Р1082;254
532;Р1084;90
533;Р1090;52
534;Р1106;3
535;Р1202;2
536;Р1301;75
538;Р1400;0
542;Р1600;225
1977;Р1710;43
545;Р1750;33
546;Р1751;35
547;Р1752;37
548;Р1753;36
1978;Р1810;85
1979;Р1811;91
1980;Р1812;88
2023;Р2000;2
555;Р2010;164
559;Р2300;292
569;Р2440;2
576;Р2600;2
581;Р3010;84
582;Р3020;4
583;Р3100;32
584;Р3110;127
585;Р3200;169
587;Р3520;61
588;Р3530;2
596;Р4066;0
598;Р4070;1
603;Р4110;0
606;Р4114;8
607;Р4115;0
610;Р4120;1
613;Р4206;1
614;Р4210;0
615;Р4213;2
1847;Р4320;46
621;Р4350;27
1848;Р4512;27
1926;Р4515;24
643;Р4810;35
2032;Р4811;9
649;Р4830;0
650;Р4840;0
1981;Р5080;87
1850;Р5300;39
1851;Р5310;5
1852;Р5320;82
664;Р5510;3
665;Р5512;2
667;Р5516;23
670;Р5540;2
671;Р5541;0
672;Р5542;1
1853;Р5543;19
683;Р5602;12
684;Р5604;5
685;Р5606;29
693;Р5720;39
696;Р5726;2
701;Р5800;1
1943;Р5900;0
704;Р5950;11
707;Р6210;23
709;Р6260;12
2033;Р6272;0
714;Р6290;0
715;Р6720;2
1982;Р6750;9
717;Р6780;17
719;Р6820;8
720;Р7010;16
1983;Р7012;3
1984;Р7020;0
723;Р7040;56
1854;Р7042;0
725;Р7045;0
729;Р7064;23
730;Р7065;23
732;Р7071;12
733;Р7072;33
734;Р7130;0
1944;Р7132;0
737;Р7150;0
739;Р7160;0
740;Р7165;0
741;Р7200;0
742;Р7205;5
743;Р7210;0
744;Р7212;1
746;Р7215;0
747;Р7220;0
1985;Р7230;0
751;Р7300;0
752;Р7302;4
753;Р7311;24
754;Р7312;14
1986;Р7314;1
1987;Р7318;0
1855;Р7319;0
759;Р7321;0
761;Р7324;6
762;Р7325;0
763;Р7326;0
764;Р7328;3
766;Р7333;1
768;Р7340;0
771;Р7342;3
773;Р7350;14
2034;Р7352;0
776;Р7360;0
1785;Р7362;0
1988;Р7364;0
1786;Р7380;0
1989;Р7452;0
782;Р7453;0
783;Р7456;54
784;Р7460;0
785;Р7462;4
786;Р7463;7
791;Р7468;7
792;Р7471;0
794;Р7473;16
796;Р7482;36
1856;Р7485;0
798;Р7486;0
800;Р7491;2
1857;Р7492;4
803;Р7494;6
806;Р7500;0
807;Р7502;4
808;Р7511;0
1795;Р7512;0
810;Р7513;0
1858;Р7514;0
2035;Р7517;7
1990;Р7524;0
1790;Р7525;4
1991;Р7526;0
818;Р7528;0
1992;Р7530;0
1793;Р7533;0
1791;Р7534;0
1792;Р7536;2
2036;Р7537;0
2037;Р7538;0
1794;Р7541;0
1796;Р7543;0
828;Р7545;0
1993;Р7555;1
834;Р7556;1
837;Р7563;4
838;Р7564;1
844;Р7591;16
845;Р7592;0
846;Р7593;0
851;Р7612;3
855;Р7690;0
857;Р7700;0
858;Р7750;2
862;Р7808;0
864;Р7812;0
869;Р7822;0
876;Р7832;0
2011;Р7842;0
880;Р7844;0
1797;Р7846;0
1994;Р7863;0
1995;Р7884;0
1859;Р7904;0
1798;Р7921;0
908;Р7926;0
909;Р7951;0
913;Р7956;0
1799;Р7957;2
1996;Р7958;0
1800;Р7961;0
1801;Р7990;0
1802;Р8030;0
1815;Р8160;0
1997;Р8170;0
1870;Р8261;0
935;Р8272;6
1816;Р8275;0
2014;Р8276;0
1817;Р8288;0
1818;Р8301;1
1927;Р8312;4
947;Р8315;1
1819;Р8320;2
1820;Р8323;1
2015;Р8360;1
1821;Р8370;2
1822;Р8380;1
963;Р8452;1
1803;Р8460;0
965;Р8463;0
967;Р8470;0
1804;Р8478;0
1805;Р8490;0
2012;Р8585;4
1806;Р8595;0
986;Р8605;0
1807;Р8630;0
2013;Р8631;5
1808;Р8637;0
1813;Р8641;0
1809;Р8650;3
1003;Р8700;0
1810;Р8715;0
1811;Р8764;0
1812;Р8770;1
1814;Р8790;0
1018;Р9020;232
2038;Р9030;30
2039;Р9031;108
2040;Р9032;127
1022;Р9033;141
2041;Р9034;106
1025;Р9060;51
2030;Р9061;55
1027;Р9062;67
1028;Р9063;73
1029;Р9064;68
1030;Р9100;3
1787;РК048;0
1788;РК050;0
1865;РК053;0
1866;РК073;0
1869;РК080;2
1765;РК8029;0
1766;РК8030;1
1767;РК8102;0
1768;РК8103;0
1769;РК8104;0
1770;РК8105;0
1771;РК8201;0
1772;РК8301;0
1773;РК8302;0
1774;РК8303;0
1775;РК8305;0
1776;РК8401;0
1777;РК8402;0
1778;РК8407;0
1779;РК8408;0
1083;РС018;6
1084;РС020;175
1085;РС021;75
1928;РС023;22
1088;РС024;103
1089;РС025;23
1090;РС026;19
1091;РС027;63
1092;РС106;278
1093;РС107;61
1094;РС108;343
1095;РС109;41
1096;РС110;51
1097;РС111;22
1098;РС121;39
1099;РС122;55
1100;РС123;82
1102;РС126;45
1103;РС128;251
1104;РС130;53
1105;РС131;29
1106;РС132;91
1107;РС133;183
1109;РС137;57
1110;РС138;156
1111;РС140;120
1114;РС142;297
1115;РС144;62
1117;РС148;118
1118;РС149;124
1124;РС170;15
1125;РС171;12
1126;РС172;23
1127;РС174;7
2043;РС175;5
2044;РС176;8
2045;РС177;8
1132;РС220;188
1133;РС230;0
1134;РС231;13
1135;РС240;28
1929;РС241;24
1137;РС245;21
1138;РС250;0
1139;РС251;64
2046;РС252;12
2028;РС260;6
2047;РС261;37
1144;РС345;57
2048;РС346;9
1146;РС347;45
2029;РС348;67
2049;РС349;193
1179;РС455;15
1180;РС456;21
2050;РС457;23
1930;РС458;77
1183;РС459;33
1185;РС461;0
1186;РС462;14
1187;РС463;3
1188;РС470;48
1189;РС471;17
2051;РС472;11
1191;РС473;0
1192;РС474;49
1193;РС475;6
1194;РС476;9
1196;РС478;56
1197;РС479;0
1198;РС480;0
1199;РС481;3
1202;РС484;6
1931;РС490;0
1207;РС492;0
1208;РС494;4
1209;РС500;18
1210;РС501;22
1211;РС502;15
1212;РС503;34
1216;РС507;24
1217;РС508;29
1220;РС511;19
1222;РС513;21
1223;РС514;9
1224;РС515;19
1225;РС516;52
1226;РС517;2
1227;РС518;3
1228;РС519;26
1229;РС520;119
1230;РС521;59
1231;РС522;34
1234;РС530;100
1235;РС531;44
1236;РС532;50
1237;РС533;133
1238;РС534;101
1239;РС535;104
1240;РС540;83
1241;РС541;77
1242;РС542;84
1243;РС550;63
1244;РС551;123
1245;РС552;78
1246;РС553;4
1247;РС554;0
1248;РС565;9
1249;РС566;7
1932;РС570;26
1933;РС572;25
2052;РС595;6
1966;РС599;48
1934;РС600;116
1935;РС602;0
1936;РС603;18
1262;РС604;12
1263;РС605;47
1264;РС606;26
1937;РС607;33
1266;РС608;5
1268;РС610;4
1269;РС611;0
1271;РС613;35
1272;РС614;39
1273;РС615;7
1275;РС616;0
1278;РС620;14
1279;РС621;5
1280;РС622;3
1281;РС623;9
1283;РС625;9
1285;РС627;4
2053;РС628;6
1287;РС629;19
1288;РС640;2
2054;РС642;1
1916;РС656;0
1295;РС657;7
1297;РС659;9
2055;РС660;6
2056;РС661;3
2057;РС662;3
2058;РС663;1
2059;РС664;0
