id_product;reference;r1;r2;r3;rname;rtor
1088;РС024;12;12;16;Корсар-4;0
1089;РС025;12;12;16;Корсар-4 ассорти;0
1090;РС026;6;1;50;Корсар-6 ;0
1091;РС027;6;1;50;Корсар-6 ассорти;0
1092;РС106;2;1;120;Гремучая змея;0
1093;РС107;6;12;24;Огненная юла;12
1094;РС108;12;1;80;Огневушка;12
1095;РС109;4;6;18;Мега-Супер-ЖУК;24
1096;РС110;3;1;48;Джамбо;3
1097;РС111;7;1;8;Супер-Джамбо;0
1098;РС121;60;12;20;Корсар-1;12
1099;РС122;12;10;42;Корсар-3;0
1100;РС123;12;10;42;Корсар-3;12
1102;РС126;6;1;48;Корсар-6 ассорти;0
1103;РС128;3;1;100;Корсар-8;0
1104;РС130;12;24;24;Пикарда;24
1105;РС131;10;10;32;Пуля-дура;10
1106;РС132;5;1;40;Бронебойная;5
1107;РС133;50;1;100;Бомбейка;1
1109;РС137;4;1;36;Граната РГД;4
1110;РС138;6;1;50;Гран. противопех.;0
1111;РС140;12;10;24;Дикие пчёлы;10
1114;РС142;12;1;60;Волшеб. мотылёк;12
1115;РС144;6;1;36;Майский жук;6
1117;РС148;2;1;40;Божья корвка;2
1118;РС149;4;1;40;Кор. пришельцев;4
1124;РС170;1;1;24;Резервная валюта;1
1125;РС171;1;1;12;Зашибись;1
1126;РС172;1;1;12;Лакшери;0
1127;РС174;1;1;4;ПироM и пироW;1
1132;РС220;6;1;72;Ариэль набор;6
1133;РС230;6;1;24;Феникс набор;1
1134;РС231;5;1;20;Пегас набор;0
1135;РС240;4;1;16;Сириус набор;4
1137;РС245;3;1;12;Земля - воздух;0
1138;РС250;2;1;12;Андромеда набор;2
1139;РС251;1;1;24;Сверхновая;1
1144;РС345;5;1;72;Фонт. Цвет. дым;5
1146;РС347;4;1;24;Факел Цвет. дым;4
1179;РС455;1;1;12;Коварная Мэри;1
1180;РС456;1;1;12;Тумба-юмба;1
1183;РС459;1;1;12;Боровик;1
1185;РС461;4;1;10;Бурный Везувий;4
1186;РС462;1;1;12;Фудзияма;2
1187;РС463;1;1;12;Чумовой Кракатау;1
1188;РС470;4;1;24;Балет;4
1189;РС471;1;1;12;Цветок папоротн.;1
1191;РС473;1;1;32;Снеговик;1
1192;РС474;1;1;48;Чудо-Юдо;1
1193;РС475;1;1;4;Ночные бабочки;1
1194;РС476;1;1;4;Огненный букет;1
1196;РС478;1;1;24;Мир для двоих;1
1197;РС479;1;1;8;Шапка Мономаха;1
1198;РС480;1;1;72;Анютины глазки;1
1199;РС481;1;1;72;Вася-василек;1
1202;РС484;1;1;8;Снежный человек;1
1207;РС492;1;1;8;Дружба народов;1
1208;РС494;1;1;4;Сапф. и брилл.;1
1209;РС500;2;1;36;Танец  огня;2
1210;РС501;2;1;36;Фуэтэ;2
1211;РС502;2;1;36;Танец на льду;2
1212;РС503;2;1;36;Болеро;2
1216;РС507;2;1;36;На абордаж;2
1217;РС508;2;1;36;Дамский каприз;2
1220;РС511;4;1;18;Звёзды и изумруд.;0
1222;РС513;2;1;36;Поцелуй снежинки;2
1223;РС514;4;1;24;Ледяное сердце;4
1224;РС515;2;1;36;Малиновый звон;2
1225;РС516;2;1;24;Зимняя сказка;2
1226;РС517;2;1;24;Вишнёвое варенье;2
1227;РС518;2;1;24;Мороз и солнце;2
1228;РС519;2;1;24;Снежный вальс;2
1229;РС520;2;1;36;Новогодний оливье;2
1230;РС521;2;1;36;Мишура на ура;2
1231;РС522;2;1;24;Елочки-иголочки;2
1234;РС530;1;1;36;Новог-й калейдоск.;1
1235;РС531;1;1;36;Снеговик-затейник;1
1236;РС532;1;1;36;Золотая рыбка;1
1237;РС533;1;1;36;Мир фиалок;1
1238;РС534;1;1;36;Стрелы Купидона;1
1239;РС535;1;1;36;ПироКалаш;1
1240;РС540;1;1;25;Магия огня;1
1241;РС541;1;1;25;Биение сердец;1
1242;РС542;1;1;25;Праздник ёлки;1
1243;РС550;4;1;42;Снежинки;4
1244;РС551;4;1;42;Смайлики;4
1245;РС552;2;1;36;Яркое удовольст.;2
1246;РС553;4;1;24;Млечный путь;2
1247;РС554;2;1;24;Зимние потешки;2
1248;РС565;4;1;24;Тирамису;0
1249;РС566;4;1;24;Шоколадка;4
1262;РС604;1;1;24;Йоулупукки;1
1263;РС605;1;1;24;Ритм жизни;1
1264;РС606;1;1;24;Фейерверк на р-не;1
1266;РС608;1;1;24;Всегда готов!;1
1268;РС610;1;1;16;Даёшь молодёжь!;1
1269;РС611;1;1;18;Мальчишник;1
1271;РС613;1;1;16;Шаляй-Валяй;1
1272;РС614;1;1;16;Юный Дедмороз.;1
1273;РС615;1;1;16;С новым счастьем!;1
1275;РС616;1;1;24;Маугли;1
1278;РС620;1;1;12;Радость общения;1
1279;РС621;1;1;8;Столичные дворики;1
1280;РС622;1;1;12;Сугробы смеха;1
1281;РС623;1;1;6;Гламур и богема;1
1283;РС625;1;1;12;3Д: Озеро Рица;1
1285;РС627;1;1;8;3Д: Свящ. Байкал;1
1287;РС629;1;1;8;"3Д: Верные друзья (0,8""х 48) МОДУЛЬ";1
1288;РС640;1;1;8;Бриллиант.й блеск;1
1295;РС657;1;1;4;Лек-во от меланхол;1
1297;РС659;1;1;4;Небесная феерия;1
1307;РС680;1;1;15;Неваляшка;1
1309;РС682;1;1;12;Звёзды дискотек;1
1311;РС684;1;1;12;Двухдюймовочка;1
1313;РС686;1;1;12;Тики-така;1
1318;РС692;1;1;24;Парадиз;1
1324;РС702;1;1;24;Ура! Каникулы!;1
1325;РС703;1;1;16;Одноклассники!;1
1326;РС704;1;1;16;Северное сияние;1
1327;РС705;1;1;18;Счастье моё...;1
1328;РС706;1;1;18;Сказочный  сон;1
1329;РС707;1;1;18;Для милых дам;1
1337;РС715;1;1;8;Юниор;1
1338;РС716;1;1;12;Зимний праздник;1
1339;РС717;1;1;8;Овертайм;1
1341;РС719;1;1;8;Мужичок-Снегович.;1
1342;РС720;1;1;8;Хохлома;1
1344;РС722;1;1;8;"Жемчужное сияние  (1,0""х 25) МОДУЛЬ";1
1345;РС723;1;1;8;Искристая сказка;1
1347;РС725;1;1;8;Жизнь удалась!;1
1348;РС726;1;1;8;Сказочный лес;1
1349;РС727;1;1;8;Каменные джунгли;1
1350;РС728;1;1;8;Гуляй, пока молод.;0
1358;РС741;1;1;8;Старый Новый год;1
1359;РС742;1;1;6;Ледяные узоры;1
1360;РС743;1;1;8;Новогодн. сюрприз;1
1376;РС781;1;1;2;Сто в одном;1
1390;РС801;1;1;8;Экзотич. коктейль;1
1394;РС805;1;1;12;Ночное рандеву;1
1395;РС806;1;1;12;Медовый месяц;1
1396;РС807;1;1;8;Кремлёв. куранты;1
1397;РС808;1;1;8;В день рождения;1
1398;РС809;1;1;8;Разноцв. снежинки;1
1399;РС810;1;1;8;С Новым Годом!;1
1400;РС811;1;1;8;Круче не бывает!;1
