id_product;name;reference;price;active;id_manufacturer;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"607";"0";"Р4115";"1516.000000";"1";"Русский Фейерверк";"ogonek";"1";"1453";"Фонтаны";"0";"0";"";"9";"0";
"610";"1";"Р4120";"1417.000000";"1";"Русский Фейерверк";"ogonek";"1";"1459";"Фонтаны";"0";"0";"";"3";"0";
"613";"1";"Р4206";"205.000000";"1";"Русский Фейерверк";"ogonek";"1";"1464";"Фонтаны";"0";"0";"";"2";"0";
"614";"0";"Р4210";"286.000000";"1";"Русский Фейерверк";"ogonek";"1";"1469";"Фонтаны";"0";"0";"";"1";"0";
"615";"2";"Р4213";"99.000000";"1";"Русский Фейерверк";"ogonek";"1";"1474";"Фонтаны";"0";"0";"";"4";"0";
"621";"27";"Р4350";"425.000000";"1";"Русский Фейерверк";"ogonek";"1";"1480";"Фонтаны";"0";"0";"";"28";"0";
"643";"35";"Р4810";"1968.000000";"1";"Русский Фейерверк";"ogonek";"1";"1485";"Фонтаны";"0";"0";"";"23";"0";
"649";"0";"Р4830";"396.000000";"1";"Русский Фейерверк";"ogonek";"1";"1487";"Бенгальские свечи";"0";"0";"";"96";"0";
"650";"0";"Р4840";"910.000000";"1";"Русский Фейерверк";"ogonek";"1";"2956";"Бенгальские свечи";"0";"0";"";"1";"0";
"664";"3";"Р5510";"504.000000";"1";"Русский Фейерверк";"ogonek";"1";"1489";"Римские свечи";"0";"0";"";"1";"0";
"665";"2";"Р5512";"536.000000";"1";"Русский Фейерверк";"ogonek";"1";"1493";"Римские свечи";"0";"0";"";"7";"0";
"667";"23";"Р5516";"664.000000";"1";"Русский Фейерверк";"ogonek";"1";"1497";"Римские свечи";"0";"0";"";"16";"0";
"670";"2";"Р5540";"460.000000";"1";"Русский Фейерверк";"ogonek";"1";"1498";"Римские свечи";"0";"0";"";"2";"0";
"671";"0";"Р5541";"460.000000";"1";"Русский Фейерверк";"ogonek";"1";"1499";"Римские свечи";"0";"0";"";"1";"0";
"672";"1";"Р5542";"398.000000";"1";"Русский Фейерверк";"ogonek";"1";"3425";"Римские свечи";"0";"0";"";"0";"1";
"683";"12";"Р5602";"798.000000";"1";"Русский Фейерверк";"ogonek";"1";"2851";"Римские свечи";"0";"0";"";"12";"0";
"684";"5";"Р5604";"798.000000";"1";"Русский Фейерверк";"ogonek";"1";"1503";"Римские свечи";"0";"0";"";"6";"0";
"685";"29";"Р5606";"884.000000";"1";"Русский Фейерверк";"ogonek";"1";"1504";"Римские свечи";"0";"0";"";"29";"0";
"693";"39";"Р5720";"642.000000";"1";"Русский Фейерверк";"ogonek";"1";"2802";"Римские свечи";"0";"0";"";"40";"0";
"696";"2";"Р5726";"536.000000";"1";"Русский Фейерверк";"ogonek";"1";"1506";"Римские свечи";"0";"0";"";"5";"0";
"701";"1";"Р5800";"705.000000";"1";"Русский Фейерверк";"ogonek";"1";"1507";"Римские свечи";"0";"0";"";"2";"0";
"704";"11";"Р5950";"799.000000";"1";"Русский Фейерверк";"ogonek";"1";"2852";"Римские свечи";"0";"0";"";"11";"0";
"707";"23";"Р6210";"649.000000";"1";"Русский Фейерверк";"ogonek";"1";"1512";"Фестивальные шары";"0";"0";"";"25";"0";
"709";"12";"Р6260";"1415.000000";"1";"Русский Фейерверк";"ogonek";"1";"1516";"Фестивальные шары";"0";"0";"";"14";"0";
"714";"0";"Р6290";"4170.000000";"1";"Русский Фейерверк";"ogonek";"1";"1520";"Фестивальные шары";"0";"0";"";"1";"0";
"715";"2";"Р6720";"296.000000";"1";"Русский Фейерверк";"ogonek";"1";"1530";"Фонтаны";"0";"0";"";"1";"0";
"717";"17";"Р6780";"677.000000";"1";"Русский Фейерверк";"ogonek";"1";"1535";"Фонтаны";"0";"0";"";"17";"0";
"719";"8";"Р6820";"3153.000000";"1";"Русский Фейерверк";"ogonek";"1";"1541";"Фонтаны";"0";"0";"";"8";"0";
"720";"16";"Р7010";"359.000000";"1";"Русский Фейерверк";"ogonek";"1";"1548";"Батареи салютов";"0";"0";"";"13";"0";
"723";"56";"Р7040";"740.000000";"1";"Русский Фейерверк";"ogonek";"1";"1549";"Батареи салютов";"0";"0";"";"56";"0";
"725";"0";"Р7045";"336.000000";"1";"Русский Фейерверк";"ogonek";"1";"1551";"Батареи салютов";"0";"0";"";"1";"0";
"729";"23";"Р7064";"625.000000";"1";"Русский Фейерверк";"ogonek";"1";"1555";"Батареи салютов";"0";"0";"";"23";"0";
"730";"23";"Р7065";"622.000000";"1";"Русский Фейерверк";"ogonek";"1";"1560";"Батареи салютов";"0";"0";"";"23";"0";
"732";"12";"Р7071";"724.000000";"1";"Русский Фейерверк";"ogonek";"1";"2853";"Батареи салютов";"0";"0";"";"12";"0";
"733";"33";"Р7072";"534.000000";"1";"Русский Фейерверк";"ogonek";"1";"2858";"Батареи салютов";"0";"0";"";"34";"0";
"734";"-5";"Р7130";"249.000000";"1";"Русский Фейерверк";"ogonek";"1";"1565";"Батареи салютов";"0";"0";"";"1";"0";
"737";"0";"Р7150";"299.000000";"1";"Русский Фейерверк";"ogonek";"1";"1566";"Батареи салютов";"0";"0";"";"1";"0";
"739";"0";"Р7160";"460.000000";"1";"Русский Фейерверк";"ogonek";"1";"1570";"Батареи салютов";"0";"0";"";"0";"1";
