id_product;active;name;categories;price;id_tax_rules_group;wholesale_price;reference;supplier_reference;id_supplier;id_manufacturer;upc;ecotax;weight;quantity;description_short;description;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;date_add;show_price;online_only;condition;id_shop_default;
"157";"1";"0";"Петарды";"539.830000";"0";"207.630000";"TXB206";"TXB206";"1";"12";"";"0.000000";"0.666667";"0";"";"";"Батареи салютов PURPLE TAIL, 16сек (1.00" x 10) TXB206 ОПТОМ";"";"У нас Вы можете купить Батареи салютов PURPLE TAIL, 16сек (1.00" x 10) TXB206 ОПТОМ по самым низким ценам!";"purple-tail-16sek-100-x-10";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"160";"1";"0";"Петарды";"877.720000";"0";"337.590000";"TXB216";"TXB216";"1";"12";"";"0.000000";"1.250000";"0";"";"";"Батареи салютов CANCER, 30 сек (1.00" x 16) TXB216 ОПТОМ";"";"У нас Вы можете купить Батареи салютов CANCER, 30 сек (1.00" x 16) TXB216 ОПТОМ по самым низким ценам!";"cancer-30-sek-100-x-16";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"165";"1";"0";"Петарды";"587.990000";"0";"226.150000";"TXB271";"TXB271";"1";"12";"";"0.000000";"1.333333";"0";"";"";"Фестивальные шары Миномёт (8 шаров) TXB271 ОПТОМ";"";"У нас Вы можете купить Фестивальные шары Миномёт (8 шаров) TXB271 ОПТОМ по самым низким ценам!";"minomyot-8-sharov";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"166";"1";"26";"Петарды";"802.220000";"0";"308.550000";"TXB280C";"TXB280C";"1";"12";"";"0.000000";"1.250000";"0";"";"";"Батареи салютов BATTLEFIELD, (1.20" x 13) TXB280C ОПТОМ";"";"У нас Вы можете купить Батареи салютов BATTLEFIELD, (1.20" x 13) TXB280C ОПТОМ по самым низким ценам!";"battlefield-120-x-13";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"168";"1";"84";"Петарды";"931.700000";"0";"385.000000";"TXB284";"TXB284";"1";"12";"";"0.000000";"1.250000";"0";"";"";"Батареи салютов Paris (1,2" х 13) TXB284 ОПТОМ";"";"У нас Вы можете купить Батареи салютов Paris (1,2" х 13) TXB284 ОПТОМ по самым низким ценам!";"paris-12-kh-13";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"169";"1";"386";"Петарды";"196.260000";"0";"75.480000";"TXB293";"TXB293";"1";"12";"";"0.000000";"0.325000";"0";"";"";"Батареи салютов КАТЮША (16 выстрелов) (0.30" x 16) TXB293 ОПТОМ";"";"У нас Вы можете купить Батареи салютов КАТЮША (16 выстрелов) (0.30" x 16) TXB293 ОПТОМ по самым низким ценам!";"katyusha-16-vystrelov-030-x-16";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"172";"1";"0";"Петарды";"1094.800000";"0";"421.080000";"TXB315";"TXB315";"1";"12";"";"0.000000";"2.166667";"0";"";"";"Батареи салютов IMPACT, 28 сек (1.20" x 19) TXB315 ОПТОМ";"";"У нас Вы можете купить Батареи салютов IMPACT, 28 сек (1.20" x 19) TXB315 ОПТОМ по самым низким ценам!";"impact-28-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"173";"1";"0";"Петарды";"1094.800000";"0";"421.080000";"TXB316";"TXB316";"1";"12";"";"0.000000";"2.166667";"0";"";"";"Батареи салютов APRIL, 35 сек (1.20" x 19) TXB316 ОПТОМ";"";"У нас Вы можете купить Батареи салютов APRIL, 35 сек (1.20" x 19) TXB316 ОПТОМ по самым низким ценам!";"april-35-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"175";"1";"48";"Петарды";"1179.740000";"0";"453.750000";"TXB389";"TXB389";"1";"12";"";"0.000000";"2.166667";"0";"";"";"Батареи салютов SILVER DRAGON, 24 сек (1.00" x 25) TXB389 ОПТОМ";"";"У нас Вы можете купить Батареи салютов SILVER DRAGON, 24 сек (1.00" x 25) TXB389 ОПТОМ по самым низким ценам!";"silver-dragon-24-sek-100-x-25";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
"176";"1";"1";"Петарды";"1443.990000";"0";"555.390000";"TXB394";"TXB394";"1";"12";"";"0.000000";"3.000000";"0";"";"";"Батареи салютов PASSAT, 32 сек (1.20" x 19) TXB394 ОПТОМ";"";"У нас Вы можете купить Батареи салютов PASSAT, 32 сек (1.20" x 19) TXB394 ОПТОМ по самым низким ценам!";"passat-32-sek-120-x-19";"";"";"1";"2017-10-30 22:31:50";"1";"0";"new";"1";
