id_product;id_image;id_shop;cover;
"1099";"2023";"16";"1";
"1100";"2024";"16";"1";
"1104";"2027";"16";"1";
"1105";"2028";"16";"1";
"1106";"2029";"16";"1";
"1107";"2030";"16";"1";
"1109";"2031";"16";"1";
"1110";"2032";"16";"1";
"1111";"2033";"16";"1";
"1114";"2034";"16";"1";
"1115";"2035";"16";"1";
"1117";"2036";"16";"1";
"1118";"2037";"16";"1";
"1124";"2038";"16";"1";
"1125";"2039";"16";"1";
"1125";"2040";"16";"";
"1125";"2041";"16";"";
"1125";"2042";"16";"";
"1125";"2043";"16";"";
"1125";"2044";"16";"";
"1125";"2045";"16";"";
"1125";"2046";"16";"";
"1125";"2047";"16";"";
"1125";"2048";"16";"";
"1125";"2049";"16";"";
"1125";"2050";"16";"";
"1125";"2051";"16";"";
"1127";"2053";"16";"1";
"1127";"2054";"16";"";
"1127";"2055";"16";"";
"1127";"2056";"16";"";
"1127";"2057";"16";"";
"1127";"2058";"16";"";
"1127";"2059";"16";"";
"1127";"2060";"16";"";
"1132";"2061";"16";"1";
"1133";"2062";"16";"1";
"1133";"2063";"16";"";
"1133";"2064";"16";"";
"1134";"2065";"16";"1";
"1135";"2066";"16";"1";
"1137";"2067";"16";"1";
"1138";"2068";"16";"1";
"1139";"2069";"16";"1";
"1144";"2070";"16";"1";
"1146";"2071";"16";"1";
"1179";"2072";"16";"1";
"1183";"2074";"16";"1";
"1183";"2075";"16";"";
"1183";"2076";"16";"";
"1183";"2077";"16";"";
"1183";"2078";"16";"";
"1183";"2079";"16";"";
"1185";"2080";"16";"1";
"1185";"2081";"16";"";
"1185";"2082";"16";"";
"1185";"2083";"16";"";
"1185";"2084";"16";"";
"1186";"2085";"16";"1";
"1186";"2086";"16";"";
"1186";"2087";"16";"";
"1186";"2088";"16";"";
"1186";"2089";"16";"";
"1187";"2090";"16";"1";
"1187";"2091";"16";"";
"1187";"2092";"16";"";
"1187";"2093";"16";"";
"1187";"2094";"16";"";
"1188";"2095";"16";"1";
"1191";"2097";"16";"1";
"1192";"2098";"16";"1";
"1193";"2099";"16";"1";
"1194";"2100";"16";"1";
"1196";"2101";"16";"1";
"1197";"2102";"16";"1";
"1198";"2103";"16";"1";
"1199";"2104";"16";"1";
"1202";"2105";"16";"1";
"1202";"2106";"16";"";
"1202";"2107";"16";"";
"1202";"2108";"16";"";
"1202";"2109";"16";"";
"1202";"2110";"16";"";
"1202";"2111";"16";"";
"1202";"2112";"16";"";
"1202";"2113";"16";"";
"1202";"2114";"16";"";
"1202";"2115";"16";"";
"1202";"2116";"16";"";
"1207";"2117";"16";"1";
"1208";"2118";"16";"1";
"1209";"2119";"16";"1";
"1210";"2120";"16";"1";
"1211";"2121";"16";"1";
"1211";"2122";"16";"";
"1211";"2123";"16";"";
"1211";"2124";"16";"";
"1211";"2125";"16";"";
"1212";"2126";"16";"1";
"1216";"2127";"16";"1";
"1217";"2128";"16";"1";
"1217";"2129";"16";"";
"1217";"2130";"16";"";
"1220";"2131";"16";"1";
"1222";"2132";"16";"1";
"1223";"2133";"16";"1";
"1224";"2134";"16";"1";
"1225";"2135";"16";"1";
"1226";"2136";"16";"1";
"1227";"2137";"16";"1";
"1228";"2138";"16";"1";
"1229";"2139";"16";"1";
"1230";"2140";"16";"1";
"1234";"2142";"16";"1";
"1235";"2143";"16";"1";
"1236";"2144";"16";"1";
"1237";"2145";"16";"1";
"1240";"2148";"16";"1";
"1241";"2149";"16";"1";
"1242";"2150";"16";"1";
"1243";"2151";"16";"1";
"1244";"2152";"16";"1";
"1245";"2153";"16";"1";
"1246";"2154";"16";"1";
"1247";"2155";"16";"1";
"1262";"2158";"16";"1";
"1262";"2159";"16";"";
"1262";"2160";"16";"";
"1262";"2161";"16";"";
"1263";"2162";"16";"1";
"1263";"2163";"16";"";
"1263";"2164";"16";"";
"1263";"2165";"16";"";
"1264";"2166";"16";"1";
"1264";"2167";"16";"";
"1264";"2168";"16";"";
"1266";"2169";"16";"1";
"1266";"2170";"16";"";
"1266";"2171";"16";"";
"1266";"2172";"16";"";
"1266";"2173";"16";"";
"1268";"2174";"16";"1";
"1268";"2175";"16";"";
"1268";"2176";"16";"";
"1268";"2177";"16";"";
"1268";"2178";"16";"";
"1269";"2179";"16";"1";
"1269";"2180";"16";"";
"1269";"2181";"16";"";
"1269";"2182";"16";"";
"1269";"2183";"16";"";
"1271";"2184";"16";"1";
"1271";"2185";"16";"";
"1271";"2186";"16";"";
"1271";"2187";"16";"";
"1271";"2188";"16";"";
